,Movie Title,ggg,Plot,img
362,Humraaz,"Musical, Mystery, Thriller","child in jeopardy, actor, murder, suspect, orphanage, love, shoes, held at gunpoint, army officer, death of heroine, police detective, shot to death, stage play, pianist, piano, fake beard, falling in love, widower, death of wife, girl, deathbed confession, deception, lie, second marriage, father daughter relationship, illegitimate daughter, secret marriage, disguise, love triangle, death of father",https://m.media-amazon.com/images/M/MV5BNmZhZDY0YWEtZWNhMS00ZGRhLWExZDktY2I0ZWJlN2E0OTM2XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_
363,Total Siyapaa,"Comedy, Drama, Romance","interfaith romance, scene during end credits, london england, two word title, reference to osama bin laden, soup",https://m.media-amazon.com/images/M/MV5BMTg4NTg3MjU1Nl5BMl5BanBnXkFtZTgwODYxNDE3MDE@._V1_
364,Dulhan Hum Le Jayenge,"Comedy, Drama, Romance","europe, trip, switzerland, family relationships, bar, wrestling, wrestling ring, wrestling match, wedding, uncle niece relationship, truck driver, tradition, tour guide, temple, suicide attempt, railroad track, police station, police inspector, miniskirt, marriage proposal, hitchhiking, hitchhiker, highway, held at gunpoint, face slap, european tour, bus ride, beach, airport, surprise ending",https://m.media-amazon.com/images/M/MV5BMTYwNTgwNDcwN15BMl5BanBnXkFtZTcwMjk0MjUyMQ@@._V1_
365,Damini,"Crime, Drama","lawyer, justice, cover up, court, rape, mental institution, holi, melodrama, trial, monologue, crooked lawyer, confrontation, knife, woman in jeopardy, social commentary, actor playing himself, social drama, innocent woman, husband wife relationship, honest woman, female servant, female protagonist, family honor, courtroom drama",https://m.media-amazon.com/images/M/MV5BNmIyYjRiNzAtODhlYy00MWVhLWIyZjAtNTljMzY1YjY3Y2I0XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_
366,Aaja Nachle,"Drama, Family, Music","theater, young love, outcast, new york city, mother daughter relationship, flashback, family traditions, family relationships, elopement, divorce, dancer",https://m.media-amazon.com/images/M/MV5BMjA4OTE5MjI4NV5BMl5BanBnXkFtZTgwNTc0NTYyNTM@._V1_
367,Simran,"Crime, Drama, Thriller",girl,https://m.media-amazon.com/images/M/MV5BMmZhNzM2ZWEtZGI0OC00M2U3LTk0NWQtMDRjN2U0YWI2ZmIwXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_
368,Raabta,"Action, Drama, Fantasy",fall,https://m.media-amazon.com/images/M/MV5BYjg1NWRmNTgtNmNhNi00ZjRiLWI5MjItYzZmODgwNGNiY2Y4XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_
369,The Shaukeens,Comedy,"friend, indian sex comedy",https://m.media-amazon.com/images/M/MV5BMWJjMjZhNGMtNDM4NS00ZWI1LTk2OTgtNDVjNjM0MWQ5NThiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_
370,Chal Mere Bhai,"Comedy, Romance","title sung by character, brother brother relationship, song during opening credits, love triangle, uncle niece relationship, job interview, weeping, actor, flashback, car accident, death of girlfriend, secretary, theater, businessman",https://m.media-amazon.com/images/M/MV5BMTQzNjE4NTU1NF5BMl5BanBnXkFtZTcwMDEyMzUyMQ@@._V1_
371,Sanam Re,"Drama, Romance","love triangle, heartbreak, heart transplant, tragic love, girl, boy, woman in a shower, love, lust, pink bikini, snow, kashmir, bare chested male",https://m.media-amazon.com/images/M/MV5BODA1ZTJjODQtNzZmYi00YThmLTg5N2MtODUwNGFiYjRkNzBlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
372,Haseena Maan Jaayegi,"Action, Drama, Musical","love, husband wife relationship, soldier, suspicion, impersonation, dual role",https://m.media-amazon.com/images/M/MV5BYjY1NTg2N2ItYjkwZC00YjRiLWFiYTQtMWM5YmIyNzM2OTJjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
373,Dolly Ki Doli,"Comedy, Romance",police,https://m.media-amazon.com/images/M/MV5BY2VmNTQ4N2EtOTUyYi00OTIyLWI4ZGEtZWYwM2NiYjRkOTQzXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_
374,Aladin,"Action, Adventure, Comedy","aladdin character, genie, magical lamp, bully, truck, date, three wishes, wish, restaurant, unlikely hero, death of parents, good versus evil, chase, princess, one word title, character name in title",https://m.media-amazon.com/images/M/MV5BMTQ0MDM3NTQ3N15BMl5BanBnXkFtZTgwMDkxMjcwMzE@._V1_
375,Ragini MMS 2,Horror,"pornstar, hot, erotica, film director, possession, breasts, female nudity, bathtub, actress, filmmaking, film within a film, buxom, scantily clad female, skinny dipping, orgasm, sex, shower, abbreviation in title, second part, sequel",https://m.media-amazon.com/images/M/MV5BZWE3Nzc1MWMtMTczZS00M2Q4LTgyYTMtODE2MzY2NTkzZTA3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
376,Mickey Virus,"Comedy, Thriller","hacking, suspense",https://m.media-amazon.com/images/M/MV5BMjAxNDIwNDczOV5BMl5BanBnXkFtZTgwNTE0MTUwMDE@._V1_
